,user_code,regions_list
0,"Королёв, Лука",[36]
1,"Кириллов, Бронислав",[48]
2,"Андреев, Ибрагил",[36]
3,"Князев, Исак",[68]
4,"Гришин, Корнелий",[62]
5,"Владимиров, Зиновий",[36]
6,"Игнатов, Лука",[48]
7,"Молчанов, Мирон","[62, 50]"
8,"Мышкин, Станислав","[48, 68]"
9,"Кошелев, Яков","[53, 60, 47]"
10,"Федотов, Эльдар","[77, 62, 48, 70, 58, 68, 50, 69]"
11,"Фролов, Самуил",[62]
12,"Сергеев, Владимир","[48, 68]"
13,"Гурьев, Архип",[36]
14,"Герасимов, Рубен",[68]
15,"Калашников, Ярослав",[36]
16,"Павлов, Леонтий",[68]
17,"Беляев, Велорий",[58]
18,"Данилов, Ибрагил",[68]
19,"Кондратьев, Роберт","[10, 47, 78]"
20,"Рожков, Алан",[36]
21,"Исаков, Геннадий","[47, 78, 31]"
22,"Кононов, Адриан",[68]
23,"Федосеев, Владимир","[36, 68, 58, 62]"
24,"Калинин, Клемент",[58]
25,"Рогов, Артем",[35]
26,"Фёдоров, Игорь","[36, 62, 68, 48, 58]"
27,"Кудряшов, Игорь","[61, 23, 62, 68, 48, 36]"
28,"Игорьентьев, Тимур","[36, 62, 68]"
29,"Николаев, Гаянэ",[36]
30,"Михеев, Валентин","[58, 68]"
31,"Казаков, Адриан",[48]
32,"Исаев, Харитон",[76]
